证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %↓","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
2500.HK,启明医疗-B,-20.5192,-27.8387,-21.5594,-25.9447,-8.9375,-5.3117,-21.7647,-112.5478,,,
2499.HK,佛朗斯股份,6.7678,9.0409,3.1595,4.0148,7.1307,8.2139,9.0443,10.4209,12.4709,,
2496.HK,友芝友生物-B,,-123.3954,-135.2223,-126.3123,-264.2175,,,,,,
2495.HK,声通科技,8.3050,-62.6448,,-137.2520,41.6171,,,,,,
2493.HK,迈威生物-B,-101.0573,-50.2781,-34.5422,-42.2064,-62.0268,-57.6974,-301.4577,,,,
2482.HK,维天运通,5.9173,7.3334,-4.8981,0.2556,12.1008,10.6238,-4.3898,,,,
2480.HK,绿竹生物-B,-19.8658,-17.9525,-25.4686,-410.9355,,,,,,,
2479.HK,天聚地合,,,5.5346,6.7465,8.1246,,,,,,
2450.HK,淮北绿金股份,-6.3308,-4.6421,8.8369,19.9539,20.2640,34.2574,35.9596,,,,
2432.HK,越疆,-4.6532,-14.2270,-24.9370,-13.6183,,,,,,,
2431.HK,佑驾创新,-35.4813,-23.1747,-31.2312,-44.9419,,,,,,,
2419.HK,德康农牧,16.5384,65.9985,-39.7955,22.2055,-55.4094,69.8977,109.3786,,,,
2418.HK,德银天下,2.0375,4.5904,4.4831,7.8305,15.7971,14.4802,13.2881,,,,
2411.HK,百果园集团,-11.7829,-13.0139,11.7067,11.5658,9.0496,2.0230,,,,,
2410.HK,同源康医药-B,-79.3291,186.3084,,,,,,,,,
2408.HK,遇见小面,22.5898,70.7583,115.1232,,,,,,,,
2396.HK,华芢生物-B,-53.9231,"-2,274.7977",,,,,,,,,
2376.HK,鲁商服务,5.8997,8.3148,7.7327,19.2099,27.2352,24.1794,28.4855,,,,
2352.HK,东原仁知服务,6.9874,-15.6354,4.0482,25.4120,63.0892,59.5958,26.6360,,,,
2315.HK,百奥赛图-B,11.5122,4.1411,-39.6399,-50.2989,-40.4038,-78.7341,,,,,
2291.HK,心泰医疗,11.8854,12.5167,8.2552,-1.8606,18.3776,28.3322,22.9142,,,,
2276.HK,康耐特光学,25.7680,28.7395,25.7446,23.8660,25.4550,29.1055,45.5478,,,,
2252.HK,微创机器人-B,-72.4833,-161.0682,-104.5020,-59.8198,-30.3921,-28.4324,,,,,
2251.HK,鹰瞳科技-B,-2.0008,-18.1873,-8.2665,-10.3269,-12.8026,-64.3485,,,,,
2245.HK,力勤资源,24.3310,17.7809,11.9054,29.8798,48.5606,41.0505,,,,,
2235.HK,微泰医疗-B,2.0131,-3.1280,-5.8513,-1.5719,-3.2370,-25.6021,,,,,
2210.HK,京城佳业,5.9455,9.4398,14.3981,15.9253,15.4258,13.9593,9.1794,,,,
2190.HK,归创通桥,7.7200,3.2612,-2.5640,-3.6403,-11.1890,-34.0357,,,,,
2185.HK,百心安-B,-12.7918,-12.4842,-21.5605,-21.7399,-42.6293,-88.1902,,,,,
2179.HK,瑞科生物-B,-98.8356,-70.2652,-41.8508,-43.3382,-197.9064,,,,,,
2170.HK,贝康医疗-B,-21.5095,-18.6472,-12.8133,-7.4156,-14.3881,266.7766,,,,,
2157.HK,乐普生物,25.0213,-51.4307,-2.4583,-79.3164,-87.5236,-103.8079,,,,,
2152.HK,苏新服务,7.9564,8.0592,9.5854,9.9170,10.6192,11.0379,12.4229,,,,
2149.HK,贝克微,10.6656,18.0770,17.6908,27.3581,34.0744,,,,,,
2146.HK,荣万家,5.0163,5.3406,6.0962,11.6483,30.7326,52.0345,40.8731,63.6959,,,
2145.HK,上美股份,44.4645,37.1983,24.8298,11.0810,44.3300,103.8001,,,,,
2121.HK,创新奇智,-18.1910,-33.1995,-27.0681,-17.9082,-100.4784,,,,,,
2097.HK,蜜雪集团,29.8783,34.8473,34.9345,30.7384,,,,,,,
1989.HK,广合科技,28.8088,27.5725,25.6027,22.0971,10.5230,,19.1916,18.7037,,,
1905.HK,海通恒信,7.0755,7.5235,8.2373,8.4335,8.4718,7.1794,9.5071,10.6086,11.1592,,
1879.HK,曦智科技-P,,,,,,,,,,,
1853.HK,春城热力,7.6373,9.8278,12.7205,12.3819,13.5015,19.2269,19.9545,25.8292,23.3174,,
1847.HK,云南建投混凝土,-14.6323,-9.4677,-2.6964,2.1319,0.0545,16.6398,19.8958,20.2938,30.0725,,
1779.HK,天辰生物-B,185.0492,,,,,,,,,,
1768.HK,鸣鸣很忙,33.7266,16.1643,8.3955,,,,,,,,
1641.HK,红星冷链,9.0577,9.7166,8.7687,,,,,,,,
1609.HK,天星医疗,25.3494,22.5504,17.3835,,,,,,,,
1601.HK,中关村科技租赁,9.3040,10.8815,11.2484,10.5792,9.8701,9.7619,10.3175,9.5561,10.6217,,
1542.HK,台州水务,-7.7323,-11.6353,-9.2502,5.9906,13.6809,12.8821,14.4116,23.7801,47.5743,,
1541.HK,宜明昂科-B,-29.7320,-44.2626,-49.6834,98.3606,,,,,,,
1511.HK,驭势科技,-62.5445,-38.1641,-37.1053,,,,,,,,
1502.HK,金融街物业,8.1266,9.1258,10.5616,10.4280,12.4986,14.3593,33.8612,37.7278,,,
1501.HK,瑛泰医疗,11.6081,11.2117,9.8984,9.0603,10.5852,9.6235,12.5426,20.4289,22.6715,,
1497.HK,燕之屋,24.2350,20.6274,32.8770,48.4843,61.4884,,,,,,
1471.HK,众淼控股,8.3858,9.6658,12.2553,13.7492,15.1081,,,,,,
1384.HK,滴普科技,65.6736,,,,,,,,,,
1354.HK,经发物业,22.2057,31.6535,54.0027,45.5142,36.4855,,,,,,
1333.HK,博雷顿,-43.3484,-34.2205,-31.0809,-208.6616,,,,,,,
1318.HK,毛戈平,29.4844,34.8966,49.4085,36.7632,,,,,,,
1304.HK,峰岹科技,5.7407,8.9951,7.5265,10.6109,38.2222,43.5412,62.6245,,,,
1274.HK,知行科技,-46.9996,-28.4536,-21.7976,-633.2498,,,,,,,
1236.HK,乐动机器人,-16.1170,-13.1383,-14.2643,,,,,,,,
1187.HK,可孚医疗,7.6910,6.4306,5.1269,6.0533,14.4308,53.2304,29.8309,33.1680,,,
1021.HK,华沿机器人,-5.8638,3.6680,0.7817,,,,,,,,
0666.HK,瑞浦兰钧,5.6585,-10.7777,-13.3435,-5.5427,-63.5461,-21.5116,,,,,
0664.HK,铜师傅,11.0465,21.3667,14.3239,,,,,,,,
0600.HK,爱芯元智,,,,,,,,,,,
,,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,,
