证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %↓","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
2196.HK,复星医药,7.0274,5.9651,5.3197,8.9330,12.4492,10.6524,11.1180,10.1819,13.1826,13.9393,14.1618
1330.HK,绿色动力环保,7.5679,7.3780,8.3141,10.7483,11.6145,11.4616,13.5343,10.7305,8.3033,13.8373,9.8853
2068.HK,中铝国际,3.8511,3.2529,-36.5447,1.4836,-11.6080,-19.7071,0.3246,3.4059,6.6384,13.8123,7.7999
1973.HK,天图投资,3.0174,-12.9775,-11.9598,8.0910,11.8825,13.1857,2.8349,-23.9351,14.0337,13.7576,16.9487
2695.HK,印象大红袍,12.2385,17.9514,22.6448,-1.3916,-0.4910,-1.2691,11.6398,18.0828,18.4393,13.7401,17.3511
2289.HK,创美药业,7.4933,8.7602,8.6128,16.4540,4.6000,8.2252,8.3624,9.7406,9.8527,13.6948,7.9897
1697.HK,山东国信,0.4903,1.2792,1.4408,2.5988,4.4993,6.2827,6.8617,9.3347,11.5543,13.5028,18.8778
0579.HK,京能清洁能源,8.6557,10.1663,10.3160,10.3754,9.3289,9.7671,9.5497,10.5263,11.0257,13.2687,14.3675
2453.HK,美中嘉和,-14.7552,-27.3006,-22.7192,-846.3471,,,,,,12.9561,13.1119
1658.HK,邮储银行,7.9828,8.7153,9.6982,10.5324,10.3923,10.5619,11.9679,11.5556,12.2657,12.9019,15.2104
1816.HK,中广核电力,8.0496,9.2952,9.7379,9.5844,9.9219,10.3334,11.7647,12.7090,15.5269,12.8777,12.2758
