证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
002466.SZ,天齐锂业,1.0662,-18.1851,14.0828,74.2320,37.3156,-30.1107,-69.9747,22.9109,31.4039,39.4599,8.2216
002475.SZ,立讯精密,21.5235,21.2766,21.5491,22.7284,22.3079,29.8582,26.3382,19.1490,13.9772,13.7850,21.3153
002493.SZ,荣盛石化,1.9401,1.6429,2.5288,6.9515,29.8899,24.5580,10.1498,9.1363,14.8626,16.3606,4.0537
002594.SZ,比亚迪,15.1180,24.8437,24.0481,16.1305,4.0083,7.4523,2.8840,5.0456,7.6538,12.0937,9.7934
002600.SZ,领益智造,10.4399,9.2346,11.4357,9.5327,7.8109,17.2858,17.5760,-142.4508,23.8342,5.8808,2.3269
002601.SZ,龙佰集团,5.4247,9.5352,14.9025,17.1996,28.4481,16.3896,19.8189,17.5398,19.8395,6.0405,4.9407
002625.SZ,光启技术,7.4020,7.3442,6.8394,4.5962,3.3858,2.0945,1.5028,0.9330,1.9895,11.6537,8.0437
002648.SZ,卫星化学,16.6375,21.7820,20.5639,15.1287,36.4107,14.5234,14.7290,12.3465,17.8249,9.5781,-13.0584
002709.SZ,天赐材料,8.7993,3.6581,14.5991,58.0071,41.8942,17.2613,0.5818,17.0285,14.6325,28.2021,9.8082
002714.SZ,牧原股份,20.6877,26.5183,-6.3342,21.0348,13.1803,74.6829,34.5474,4.1574,25.7150,50.5670,21.7852
002736.SZ,国信证券,8.8552,7.1715,5.9144,5.9746,11.3766,9.6498,9.0366,6.5491,9.1066,9.2733,33.7525
002916.SZ,深南电路,20.6239,13.5073,10.9944,15.7922,18.5567,22.9887,28.2642,20.2389,18.8822,18.6905,12.1820
002920.SZ,德赛西威,19.5806,22.7884,21.4392,20.0390,16.6937,11.7018,7.1360,10.8185,24.6484,54.8583,49.0825
002938.SZ,鹏鼎控股,11.2846,11.7238,11.4155,19.3683,14.6229,13.7311,15.5082,18.3703,16.2587,9.7942,16.2070
003816.SZ,中国广核,8.0496,9.2952,9.7379,9.5844,9.9219,10.3334,11.7647,12.7090,15.5269,12.8777,12.2758
300014.SZ,亿纬锂能,10.3486,11.2720,12.4341,14.5156,17.9869,15.0670,27.3864,17.1798,16.0504,13.7865,11.2790
300015.SZ,爱尔眼科,15.1810,17.9733,18.9087,18.0423,21.9560,20.9608,22.4455,18.4975,18.5693,21.5382,19.3689
300033.SZ,同花顺,36.7012,23.8441,19.2590,24.6494,32.6676,37.4197,24.4934,19.4786,23.7051,47.6966,57.6875
300059.SZ,东方财富,14.0028,12.5878,11.9501,15.5844,22.1588,17.5766,9.9236,6.3128,4.6315,6.7996,36.7912
300122.SZ,智飞生物,-63.0940,6.4760,28.9542,35.9913,78.8126,47.1753,47.6709,40.7777,15.8378,1.3033,8.0131
300124.SZ,汇川技术,15.9438,16.3331,21.4090,24.2009,26.9480,21.8136,12.8121,20.0011,20.9039,21.2373,21.5020
300251.SZ,光线传媒,17.8664,3.3478,4.9338,-8.0043,-3.3582,3.2442,10.7808,16.0959,10.5490,10.6551,8.0138
300274.SZ,阳光电源,32.2364,34.1626,40.7119,20.9394,12.1229,20.5176,10.9515,11.0532,15.8874,12.6345,16.4229
300308.SZ,中际旭创,44.1614,30.9717,16.5879,10.4462,9.0512,11.6835,8.7755,14.1902,7.0810,1.8214,1.0234
300316.SZ,晶盛机电,5.2446,15.8922,35.4168,33.2074,28.3516,17.5297,14.8080,15.2665,11.2850,8.0023,5.9264
300347.SZ,泰格医药,4.2656,1.9413,9.9589,10.6632,16.7685,17.1693,23.7812,21.4310,16.4965,10.6993,16.7510
300394.SZ,天孚通信,42.7599,37.6576,25.3129,16.2512,16.5413,21.9686,14.8723,14.4216,14.2062,16.9537,20.5980
300408.SZ,三环集团,12.6112,11.4986,8.9491,9.0400,14.8929,15.7129,12.0158,20.4620,19.6782,22.5526,22.1475
300413.SZ,芒果超媒,5.3520,6.2042,17.6273,10.1902,15.3449,20.4643,16.0336,23.6549,4.3976,4.1601,7.4869
300418.SZ,昆仑万维,-11.6030,-10.8331,9.0296,9.9877,15.4240,69.5024,26.3051,14.5119,16.8384,18.2268,21.9554
300433.SZ,蓝思科技,7.7505,7.6296,6.6762,5.6404,4.8819,15.1723,12.5274,3.7710,13.3218,9.8546,17.2989
300442.SZ,润泽科技,42.7562,19.3680,30.7543,70.1778,-2.3644,-36.4114,1.8292,-28.3850,0.9020,0.7483,6.8154
300476.SZ,胜宏科技,33.7592,13.9477,9.2201,11.9735,13.4073,14.7058,14.6866,13.4133,13.5974,17.2176,13.8007
300498.SZ,温氏股份,12.6859,24.9427,-17.5627,14.6609,-34.2666,16.3386,35.0581,11.7807,21.4058,44.7222,33.7142
300502.SZ,新易盛,72.6213,41.1453,13.3725,20.5642,17.8832,20.6101,17.2789,2.8633,10.6651,13.8421,19.7395
300628.SZ,亿联网络,28.4602,31.0173,25.1010,30.6217,28.0204,26.6421,31.2919,26.7194,32.1207,69.3568,71.4986
300661.SZ,圣邦股份,11.0477,11.8265,7.6744,29.7561,35.8651,22.1286,17.6746,12.6627,18.3348,33.4299,34.7884
300750.SZ,宁德时代,24.7249,23.4046,24.6845,24.6826,21.4245,10.9111,12.8327,11.7524,19.2981,34.0672,123.2197
300759.SZ,康龙化成,11.6018,13.7022,13.8591,13.2954,17.4849,14.0934,10.8563,15.6333,11.8820,17.7727,34.6147
300760.SZ,迈瑞医疗,22.0035,33.8503,35.6014,32.6034,31.8594,31.8011,27.7360,34.1555,46.4850,29.3845,11.5929
300782.SZ,卓胜微,-2.9184,4.0178,12.1433,13.0995,41.4443,49.1772,45.6452,41.3156,74.7488,100.2208,91.3646
300803.SZ,指南针,9.0534,5.0598,4.0630,22.6872,14.6660,8.0735,13.6906,21.1190,33.3427,45.9535,69.6981
300832.SZ,新产业,18.2858,22.6841,23.7187,22.1108,18.6958,23.6472,28.0690,33.5385,33.7275,36.9877,30.4984
300866.SZ,安克创新,26.1231,24.9373,21.7591,17.7385,17.1512,23.2508,43.5924,36.1829,43.8839,120.7456,257.5544
300896.SZ,爱美客,16.7872,27.6790,30.4816,23.2375,20.0328,16.9453,57.7497,33.9291,27.9606,25.7531,14.7271
300979.SZ,华利集团,19.0471,23.6031,22.6128,26.7639,33.2114,37.9142,64.5415,58.2608,,,
300999.SZ,金龙鱼,3.3159,2.7015,3.1606,3.4333,4.8540,8.0911,8.7216,9.0626,10.2623,,
301236.SZ,软通动力,1.9667,1.7069,5.1786,12.8603,20.5473,33.8554,23.9818,12.4599,,,
301269.SZ,华大九天,1.1892,2.2371,4.2547,6.5706,15.0455,15.3531,,,,,
302132.SZ,中航成飞,28.9526,4.5963,4.1905,8.7141,15.2215,14.9552,13.8862,10.7265,9.2591,7.9362,8.2854
600000.SH,浦发银行,6.4403,6.1950,5.1598,7.4818,8.1032,9.7856,11.4901,12.4674,13.6782,15.5461,17.5910
600009.SH,上海机场,5.0284,4.7057,2.3308,-8.9252,-6.0329,-4.1380,16.6977,15.8545,15.5323,13.1670,13.0546
600010.SH,包钢股份,0.7188,0.5102,0.9885,-1.3556,5.3053,0.7696,1.2701,6.5297,4.2689,0.1803,-10.0112
600011.SH,华能国际,9.9449,7.2089,6.5696,-7.0186,-8.7579,1.9928,0.7541,0.8067,1.8196,10.0155,17.6986
600015.SH,华夏银行,7.1794,8.1333,8.2509,8.0921,8.1309,7.7618,9.0380,10.8277,12.3776,14.5830,17.2340
600016.SH,民生银行,4.5873,5.0962,5.8509,6.0073,6.2295,6.5451,11.4640,12.5968,13.8070,14.8625,17.0352
600018.SH,上港集团,9.8922,11.6611,11.2127,16.2399,15.6769,9.7976,11.5000,14.1711,17.7196,11.5332,11.4958
600019.SH,宝钢股份,5.0874,3.6729,6.0484,6.3217,12.5935,6.9955,7.0026,12.6410,13.4200,7.6606,0.8922
600023.SH,浙能电力,10.0489,11.0196,10.1326,-2.9239,-1.3076,9.2206,6.8494,6.6174,7.2815,11.0225,14.0809
600025.SH,华能水电,10.9335,11.7747,11.3096,10.2966,9.2675,8.2913,11.1719,13.8695,5.9909,1.5242,7.4280
600026.SH,中远海能,9.8140,11.4950,10.1535,4.8573,-15.7733,7.5906,1.4698,0.2662,6.4145,7.2832,1.7548
600027.SH,华电国际,8.7764,8.0532,6.9153,-0.0492,-4.8840,6.1390,5.8502,3.0107,1.0050,7.1462,19.4404
600028.SH,中国石化,3.9526,6.0463,7.3452,8.4872,9.4974,4.4735,7.8966,8.5379,7.1315,6.7395,5.1202
600029.SH,南方航空,2.4175,-4.9129,-10.5685,-59.9289,-17.6171,-16.2271,4.0815,5.0263,12.7655,12.2277,9.9902
600030.SH,中信证券,9.8121,7.7244,7.5564,9.2225,11.8192,8.6809,7.7700,6.1992,7.8178,7.3555,16.6220
600031.SH,三一重工,10.4914,8.5374,6.8047,6.6822,20.0133,30.5624,29.5278,21.4672,8.6788,0.8965,0.5966
600036.SH,招商银行,12.0198,12.8902,14.5016,15.2986,15.1561,14.5825,16.1309,15.7910,15.8969,16.2695,17.0898
600039.SH,四川路桥,14.4990,15.5112,20.7174,32.5278,22.4344,15.8343,11.5012,8.6496,9.3590,11.4328,12.7393
600048.SH,保利发展,0.5313,2.5250,6.1129,9.3648,14.5761,17.2182,20.1184,16.5168,15.9259,15.4520,18.5773
600050.SH,中国联通,5.4743,5.5725,5.2120,4.8088,4.2472,3.7942,3.5150,2.9620,0.4000,0.1973,4.4502
600061.SH,国投资本,5.8737,4.9917,4.5220,5.8459,10.0888,9.7993,7.8624,4.6186,8.1116,9.4922,33.4245
600066.SH,宇通客车,38.2728,30.1081,12.8002,5.1136,4.0179,3.1392,11.3525,14.3214,21.5188,30.5832,29.8771
600085.SH,同仁堂,8.8584,11.6268,13.4230,12.7071,11.9945,10.8193,10.6557,12.8334,12.5529,12.5161,13.8512
600089.SH,特变电工,8.3963,6.3610,17.7994,31.1781,17.7400,6.8618,5.9741,6.5958,8.3487,9.9357,9.3339
600104.SH,上汽集团,3.4452,0.5805,4.9885,5.8291,9.1905,8.0152,10.5784,15.6663,16.4936,17.4410,17.9053
600111.SH,北方稀土,9.5610,4.5596,11.4390,34.0184,39.8066,8.2956,6.5095,6.4166,4.6484,1.0854,3.9049
600115.SH,中国东航,-3.9456,-9.8708,-22.0239,-88.0323,-22.2348,-18.8987,5.0261,4.7597,12.1019,10.3568,13.4659
600150.SH,中国船舶,8.0778,7.2830,6.2717,0.3736,0.4657,0.9995,2.6532,3.5352,-16.7068,-16.0409,0.3539
600160.SH,巨化股份,19.7949,11.5721,5.9823,16.5317,8.5906,0.7516,7.0288,18.3903,8.8084,1.7116,2.2292
600161.SH,天坛生物,9.5379,14.7812,11.9225,10.4587,12.0925,15.1122,16.7189,15.8931,45.0839,12.6585,0.5140
600176.SH,中国巨石,10.7481,8.3323,10.8267,26.3530,30.1392,14.6063,14.2471,17.7913,18.3631,14.7066,14.3102
600183.SH,生益科技,21.0821,12.0372,8.4711,11.5121,24.6215,17.9513,19.0172,16.1102,19.4248,15.3875,12.0063
600188.SH,兖矿能源,13.1251,19.3195,20.1172,38.3667,26.7738,11.2807,17.6815,17.2534,17.4162,4.5495,0.4439
600196.SH,复星医药,7.0274,5.9651,5.3197,8.9330,12.4492,10.6524,11.1180,10.1819,13.1826,13.9393,14.1618
600219.SH,南山铝业,9.4801,9.7910,7.4352,7.9926,8.1940,5.1433,4.1857,4.0522,5.0027,4.7408,2.6788
600233.SH,圆通速递,12.9995,13.2702,13.4214,15.9090,10.5877,11.7693,13.6736,18.3794,16.5594,29.5827,4.2771
600276.SH,恒瑞医药,14.4413,14.7386,10.9911,10.7279,13.8312,22.8959,23.9443,23.1685,23.1782,23.1992,24.3099
600309.SH,万华化学,12.3462,14.2219,20.3211,22.3384,42.0344,22.0341,26.6079,34.7549,52.8955,27.8823,14.5251
600346.SH,恒力石化,10.8696,11.4166,12.2362,4.2115,29.8283,32.3453,31.3676,19.1269,26.4208,37.6198,-45.2325
600362.SH,江西铜业,9.2611,9.4945,9.5726,8.3751,8.9007,3.9549,4.7565,4.9641,3.5049,1.8179,1.5051
600372.SH,中航机载,2.8305,2.8304,7.8163,7.4451,7.3063,6.8315,7.2201,6.5384,8.2783,7.8993,8.8252
600377.SH,宁沪高速,11.4790,13.6302,13.3881,11.9802,14.3011,8.6834,15.3599,17.6272,15.6915,15.6776,12.2800
600406.SH,国电南瑞,16.2539,15.7861,16.0248,16.0227,15.6425,15.0043,14.8972,17.6494,22.9579,17.1179,17.0891
600415.SH,小商品城,19.3482,16.0959,16.2436,7.3961,9.4721,6.9727,10.1303,9.4338,13.6834,10.8118,7.5273
600426.SH,华鲁恒升,10.3450,13.0283,12.8136,25.5775,38.4587,12.1104,18.6548,28.2776,14.0060,11.2707,12.9353
600436.SH,片仔癀,14.9847,21.5350,22.6449,23.5070,27.6818,23.0657,23.5988,24.9752,21.1554,16.1272,15.3922
600438.SH,通威股份,-21.8765,-12.7995,22.1930,52.3428,24.1253,14.9960,16.3057,14.3800,16.0852,14.4551,13.7136
600460.SH,士兰微,3.2961,1.8144,-0.3690,15.2699,30.7901,1.9803,0.4270,5.6319,6.6304,3.9231,1.6614
600482.SH,中国动力,3.2863,3.6613,2.1549,0.9274,1.7034,1.7203,3.7224,5.1828,4.6643,7.7641,8.1824
600489.SH,中金黄金,17.0950,12.7050,11.5011,8.3485,7.0368,8.3728,1.3075,1.4473,2.1811,3.1342,0.8724
600515.SH,海南机场,0.9284,1.9661,4.1847,8.8987,3.4881,-50.5098,-4.4611,6.0187,6.0699,5.4995,7.5264
