winsor,benchmark,model,method,n_train,cv_rmse_raw_y,cv_mae_raw_y,cv_r2_raw_y,cv_rmse_winsor_y,cv_mae_winsor_y,cv_r2_winsor_y
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,entropy,1840,0.20146160963591847,0.11247493795359344,0.22706556007723022,0.13496309125655445,0.09761080982859344,0.2864324164698957
2-97,Pooled_H_plus_CSI_nonSOE,Ridge,overlap,1840,0.20146160963591847,0.11247493795359344,0.22706556007723022,0.13496309125655445,0.09761080982859344,0.2864324164698957
1-99,H_nonSOE,Ridge,baseline,1154,0.2392474052132777,0.1378476700823462,0.19790935862396486,0.1925390133598867,0.1296646923007171,0.2326415376213561
1-99,H_nonSOE,Ridge,psm,246,0.044885561467900334,0.03413191405026372,0.18082792816886895,0.043607484821677686,0.033584403963503116,0.16549332129960526
1-99,H_nonSOE,Ridge,cem,768,0.17203770554841932,0.09900860747706493,0.2550750768400587,0.12952959974572234,0.0918869651853983,0.27444889355655255
1-99,H_nonSOE,Ridge,entropy,1154,0.2392474052132777,0.1378476700823462,0.19790935862396486,0.1925390133598867,0.1296646923007171,0.2326415376213561
1-99,H_nonSOE,Ridge,overlap,1154,0.2392474052132777,0.1378476700823462,0.19790935862396486,0.1925390133598867,0.1296646923007171,0.2326415376213561
1-99,CSI_nonSOE,Ridge,baseline,686,0.10865702073905181,0.07121286522503537,0.12921211321081638,0.09703487075238701,0.06856067287809658,0.15794331287647678
1-99,CSI_nonSOE,Ridge,psm,438,0.19510384524700478,0.15044534655030412,-1.9954460620716454,0.189270507666217,0.1472462141302128,-2.3444126131942093
1-99,CSI_nonSOE,Ridge,cem,623,0.10951346678990888,0.0708026329397816,0.13467572591907018,0.09703945695508386,0.06799124462517486,0.16798935985456254
1-99,CSI_nonSOE,Ridge,entropy,686,0.10865702073905181,0.07121286522503537,0.12921211321081638,0.09703487075238701,0.06856067287809658,0.15794331287647678
1-99,CSI_nonSOE,Ridge,overlap,686,0.10865702073905181,0.07121286522503537,0.12921211321081638,0.09703487075238701,0.06856067287809658,0.15794331287647678
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,baseline,1840,0.20092749925327807,0.1147502143720114,0.2311584993171144,0.16022930686734646,0.10802753601875052,0.26957001751417997
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,psm,480,0.19252779119082158,0.1523370741914447,-1.9152176781396362,0.19038360392108683,0.1515266866914447,-2.0594297965414023
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,cem,1391,0.14919865559125128,0.08680643965355786,0.250730220108515,0.11419894174508913,0.08081179436240041,0.2703264752929625
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,entropy,1840,0.20092749925327807,0.1147502143720114,0.2311584993171144,0.16022930686734646,0.10802753601875052,0.26957001751417997
1-99,Pooled_H_plus_CSI_nonSOE,Ridge,overlap,1840,0.20092749925327807,0.1147502143720114,0.2311584993171144,0.16022930686734646,0.10802753601875052,0.26957001751417997
