sample,winsor,benchmark,n_train_valid_target,n_soe_predicted,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,target_lower,target_upper
entropy,2-97,CSI_nonSOE,686,822,0.0795928187347932,0.06794190171084512,-0.011650917023948057,-0.012161661032009025,0.402676399026764,0.056705997043764576,0.036847260160925814,-0.019858736882838762,-5072337497499.303,3232822542037.246,-0.08059637500000001,0.39191449999999994
overlap,2-97,CSI_nonSOE,686,822,0.0795928187347932,0.06794190171084512,-0.011650917023948057,-0.012161661032009025,0.402676399026764,0.056705997043764576,0.036847260160925814,-0.019858736882838762,-5072337497499.303,3232822542037.246,-0.08059637500000001,0.39191449999999994
baseline,2-97,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.10487278404536197,0.025279965310568784,0.03428043107537157,0.7055961070559611,0.056705997043764576,0.10560862591430091,0.048902628870536334,12490756064182.023,14483856318272.445,-0.463913025,0.3517038499999997
common_support,2-97,Pooled_H_plus_CSI_nonSOE,1840,589,0.08965092020373515,0.10639206077516215,0.016741140571426998,0.027091570366774995,0.6417657045840407,0.0755429007277289,0.09837307483957088,0.022830174111841975,1525676870949.2808,2928018167543.129,-0.463913025,0.3517038499999997
psm,2-97,Pooled_H_plus_CSI_nonSOE,480,822,0.0795928187347932,0.05300658376458958,-0.0265862349702036,-0.01484588512268788,0.41362530413625304,0.056705997043764576,0.032121030593076534,-0.024584966450688042,-6279515557223.158,3853941195117.2476,-0.070889,0.264463
cem,2-97,Pooled_H_plus_CSI_nonSOE,1391,822,0.0795928187347932,0.09579584070676878,0.016203021971975595,0.022832622829243508,0.656934306569343,0.056705997043764576,0.09210032059559918,0.035394323551834604,9040451847959.105,11318726247024.996,-0.2838275,0.33251525
entropy,2-97,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.10487278404536197,0.025279965310568784,0.03428043107537157,0.7055961070559611,0.056705997043764576,0.10560862591430091,0.048902628870536334,12490756064182.023,14483856318272.445,-0.463913025,0.3517038499999997
overlap,2-97,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.10487278404536197,0.025279965310568784,0.03428043107537157,0.7055961070559611,0.056705997043764576,0.10560862591430091,0.048902628870536334,12490756064182.023,14483856318272.445,-0.463913025,0.3517038499999997
baseline,1-99,H_nonSOE,1154,822,0.0795928187347932,0.08543225566472121,0.005839436929928016,0.023362997744138428,0.6143552311435523,0.056705997043764576,0.09783204501157029,0.041126047967805716,10504454359900.674,13320779692621.0,-0.97145245,0.45694802000000045
common_support,1-99,H_nonSOE,1154,358,0.07975010893854748,0.07767885162524488,-0.0020712573133026134,0.014677124773431527,0.5670391061452514,0.062868536130605,0.08834139285953374,0.02547285672892874,919889741409.4702,1709897124299.9482,-0.97145245,0.45694802000000045
psm,1-99,H_nonSOE,246,822,0.0795928187347932,0.10766772625903244,0.028074907524239252,0.03138953427566582,0.6435523114355232,0.056705997043764576,0.07064312830871615,0.013937131264951573,3559835348031.368,11420268822819.691,0.013645900000000002,0.29512770000000066
cem,1-99,H_nonSOE,768,822,0.0795928187347932,0.08150000119983462,0.0019071824650414382,0.016868174266821183,0.5875912408759124,0.056705997043764576,0.08507461398481667,0.02836861694105209,7245939170816.135,10355502381128.09,-0.64603398,0.37158711000000105
entropy,1-99,H_nonSOE,1154,822,0.0795928187347932,0.08543225566472121,0.005839436929928016,0.023362997744138428,0.6143552311435523,0.056705997043764576,0.09783204501157029,0.041126047967805716,10504454359900.674,13320779692621.0,-0.97145245,0.45694802000000045
overlap,1-99,H_nonSOE,1154,822,0.0795928187347932,0.08543225566472121,0.005839436929928016,0.023362997744138428,0.6143552311435523,0.056705997043764576,0.09783204501157029,0.041126047967805716,10504454359900.674,13320779692621.0,-0.97145245,0.45694802000000045
baseline,1-99,CSI_nonSOE,686,822,0.0795928187347932,0.06724208679700687,-0.012350731937786337,-0.013300254337567992,0.4002433090024331,0.056705997043764576,0.02909707688923063,-0.027608920154533947,-7051896693707.951,2846074387177.963,-0.14490865,0.49906649999999925
common_support,1-99,CSI_nonSOE,686,561,0.09261439037433154,0.08364313638507886,-0.008971253989252687,-0.0023632451425904255,0.48128342245989303,0.08103612086435742,0.053568120470978045,-0.027468000393379377,-1844174608188.9487,908738173691.2964,-0.14490865,0.49906649999999925
psm,1-99,CSI_nonSOE,438,822,0.0795928187347932,0.07876139981605591,-0.00083141891873728,0.014939992020823092,0.5888077858880778,0.056705997043764576,0.04375708313280758,-0.012948913910956997,-3307423929826.93,4227960572318.979,-0.070889,0.688596
cem,1-99,CSI_nonSOE,623,822,0.0795928187347932,0.06672812051843156,-0.012864698216361624,-0.014752138776733155,0.402676399026764,0.056705997043764576,0.029178025561488016,-0.02752797148227656,-7031220706706.042,2797791449523.664,-0.15067378,0.49222265999999976
entropy,1-99,CSI_nonSOE,686,822,0.0795928187347932,0.06724208679700687,-0.012350731937786337,-0.013300254337567992,0.4002433090024331,0.056705997043764576,0.02909707688923063,-0.027608920154533947,-7051896693707.951,2846074387177.963,-0.14490865,0.49906649999999925
overlap,1-99,CSI_nonSOE,686,822,0.0795928187347932,0.06724208679700687,-0.012350731937786337,-0.013300254337567992,0.4002433090024331,0.056705997043764576,0.02909707688923063,-0.027608920154533947,-7051896693707.951,2846074387177.963,-0.14490865,0.49906649999999925
baseline,1-99,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.10625951034557833,0.026666691610785144,0.038465745786249714,0.7104622871046229,0.056705997043764576,0.10616850742438884,0.04946251038062426,12633761532985.516,14735444467067.168,-0.83695566,0.4774709099999994
common_support,1-99,Pooled_H_plus_CSI_nonSOE,1840,589,0.08965092020373515,0.1077457781526913,0.018094857948956152,0.030952881399931284,0.6536502546689303,0.0755429007277289,0.10041388195684775,0.02487098122911885,1662058319537.6638,3101455959722.8643,-0.83695566,0.4774709099999994
psm,1-99,Pooled_H_plus_CSI_nonSOE,480,822,0.0795928187347932,0.0611497518215701,-0.01844306691322309,7.577147777669893e-05,0.5,0.056705997043764576,0.05770362999936729,0.0009976329556027133,254816360139.08105,10310006468253.57,-0.421194,0.494103
cem,1-99,Pooled_H_plus_CSI_nonSOE,1391,822,0.0795928187347932,0.09496868781032204,0.015375869075528854,0.026472554964401457,0.656934306569343,0.056705997043764576,0.0917198859629505,0.03501388891918592,8943280871581.508,11343291936173.137,-0.44094490000000003,0.44898819999999967
entropy,1-99,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.10625951034557833,0.026666691610785144,0.038465745786249714,0.7104622871046229,0.056705997043764576,0.10616850742438884,0.04946251038062426,12633761532985.516,14735444467067.168,-0.83695566,0.4774709099999994
overlap,1-99,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.10625951034557833,0.026666691610785144,0.038465745786249714,0.7104622871046229,0.056705997043764576,0.10616850742438884,0.04946251038062426,12633761532985.516,14735444467067.168,-0.83695566,0.4774709099999994
