证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
0995.HK,安徽皖通高速公路,10.3162,10.3885,11.4904,10.6719,13.0807,8.4653,10.3921,10.9160,11.3936,10.3581,10.9018
0998.HK,中信银行,,,,,,,,,,,
1000.HK,北青传媒,-11.0305,-0.0725,-2.1581,-4.2632,-8.8461,-16.2910,-20.1069,-22.8621,-6.7610,-4.8127,-3.9752
1021.HK,华沿机器人,-6.3732,2.8187,-7.2575,-17.1387,,,,,,,
1033.HK,中石化油服,2.4497,2.3707,2.3183,2.2566,1.8215,1.7545,3.7493,1.9346,-14.2227,-19.3665,0.8853
1053.HK,重庆钢铁股份,-7.6271,-8.5904,-3.9705,-2.3394,6.3565,2.4682,3.9096,7.4596,2.7307,-9.4017,-11.0169
1055.HK,中国南方航空股份,2.9478,2.1871,1.3013,-8.1834,-2.5810,-2.7794,3.5481,3.1958,5.5024,5.1947,4.2872
1057.HK,浙江世宝,5.2959,5.1593,3.5539,1.0316,1.5413,2.0085,-10.0120,0.0024,1.5109,3.9484,3.1294
1065.HK,天津创业环保股份,5.6443,5.6720,5.6001,5.2705,5.2263,5.2573,4.8671,5.9689,7.1961,7.2014,6.3203
1066.HK,威高股份,6.4607,8.1932,7.9028,11.0420,10.3345,9.9681,9.9955,9.2658,9.0918,9.0588,10.2771
1071.HK,华电国际电力股份,5.6004,5.2580,4.1466,1.0929,-1.2641,4.7760,4.4404,3.4889,2.7599,5.0109,9.2185
1072.HK,东方电气,3.1003,2.0957,2.4314,2.1002,1.7065,1.1969,0.6066,0.2408,0.0001,-2.7837,0.2778
1075.HK,首都信息,6.0431,-0.1422,-3.9576,6.0834,1.3800,6.1820,6.6363,3.8890,7.9479,6.7824,6.1485
1081.HK,大金重工,9.3024,4.3279,4.2987,6.1280,11.9251,13.1350,6.1641,2.5113,1.5428,3.5640,5.0250
1088.HK,中国神华,12.5517,13.9226,14.7784,16.1546,13.5102,10.6465,11.5733,12.6484,13.4104,8.0231,6.9865
1099.HK,国药控股,4.2887,4.2073,5.8076,6.1530,6.2480,6.3151,6.5985,7.8220,7.6172,7.2149,6.9350
1108.HK,凯盛新能,-6.5396,-5.4151,5.0225,5.5084,6.5327,10.5027,3.6057,3.3606,4.3468,2.0816,-14.9574
1122.HK,庆铃汽车股份,-1.1981,-0.3275,-1.9040,-2.0323,3.1503,2.9611,3.6913,4.8829,5.5253,5.5530,5.5461
1133.HK,哈尔滨电气,3.7553,3.0070,1.4213,0.6649,-6.7664,0.4678,0.5162,0.3927,0.8600,1.3504,0.7785
1138.HK,中远海能,7.5335,8.6607,8.7773,5.8710,-5.9045,5.9844,3.5864,2.5717,4.4730,3.6460,2.4905
1157.HK,中联重科,4.6110,3.3795,3.1839,2.0041,6.1371,8.6559,6.6627,4.2531,-10.0178,0.2079,0.8420
1171.HK,兖矿能源,5.7912,8.0461,9.5581,19.5464,10.2991,4.2332,8.1058,9.1935,7.9879,3.0716,1.3136
1186.HK,中国铁建,1.8279,2.1749,2.6402,2.7513,2.8597,2.8767,3.0754,3.2926,3.0231,2.9034,3.0769
1187.HK,可孚医疗,6.3667,5.4874,4.1866,5.6513,13.3741,35.1652,17.6275,15.6286,-5.0095,,
1202.HK,四威科技,-0.4022,-0.7899,-0.6733,-1.9708,-6.6163,-5.6541,-5.8627,2.6023,6.6187,1.7346,-1.7830
1211.HK,比亚迪股份,4.7829,6.7387,6.1871,5.2091,2.5868,5.0453,2.8522,4.1210,4.8690,6.3060,5.0202
1216.HK,中原银行,,,,,,,,,,,
1236.HK,乐动机器人,-9.6985,-9.0419,-11.4536,-11.9223,,,,,,,
1265.HK,天津津燃公用,-2.7672,-2.9955,-8.1307,-3.8316,0.1260,-0.7137,0.1685,2.1483,2.1766,2.1928,2.2480
1272.HK,大唐环境,5.2426,4.7898,4.3181,2.6505,-0.8535,2.7863,2.5862,5.8424,6.9472,9.0845,9.0074
1274.HK,知行科技,-25.5903,-17.8257,-13.4661,-7.0487,-16.1565,-40.0517,,,,,
1276.HK,恒瑞医药,14.5363,15.2795,10.8479,9.7382,12.0718,22.1413,23.7811,21.9487,23.2268,23.3338,23.6674
1288.HK,农业银行,,,,,,,,,,,
1289.HK,盛力达科技,3.1789,5.2858,3.4535,2.7838,0.5636,0.3849,1.5127,8.0509,5.9068,2.5582,-13.2521
1292.HK,长安民生物流,1.3400,1.6751,1.3793,1.2411,1.2519,0.3602,-0.8600,1.9057,4.3766,4.1109,8.6171
1304.HK,峰岹科技,4.6098,8.6068,7.0202,9.9091,32.0490,36.3117,42.2240,21.7124,,,
1318.HK,毛戈平,32.1687,35.9937,48.7551,34.9927,39.4971,,,,,,
1330.HK,绿色动力环保,5.2997,5.1697,5.5221,6.4036,7.0137,6.7525,6.6039,5.9136,6.1839,9.5309,7.5331
1333.HK,博雷顿,-14.6351,-19.2869,-20.3290,-24.0629,-18.7801,,,,,,
1336.HK,新华保险,,,,,,,,,,,
1339.HK,中国人民保险集团,,,,,,,,,,,
1349.HK,复旦张江,-6.3489,0.0183,3.1651,4.2569,8.0215,8.6666,16.5680,11.2649,6.5757,14.1173,16.2797
1354.HK,经发物业,9.2989,10.2222,10.5640,9.4281,8.1500,7.0418,,,,,
1359.HK,中国信达,,,,,,,,,,,
1375.HK,中州证券,,,,,,,,,,,
1379.HK,温岭工量刃具,1.9674,1.8670,2.9992,6.4934,5.4026,3.4763,4.6504,5.4925,6.8555,6.5388,14.2136
1384.HK,滴普科技,-123.7481,-282.0003,-89.1339,-98.8855,,,,,,,
1385.HK,上海复旦,2.5674,6.7017,10.5258,21.6244,16.6457,6.7292,-6.0526,6.2722,11.7919,15.6478,13.8340
1398.HK,工商银行,,,,,,,,,,,
1456.HK,国联民生,,,,,,,,,,,
1459.HK,巨匠建设,0.0103,0.6193,0.5790,1.2899,2.2439,3.3457,3.7975,4.9237,4.4740,3.8820,4.2306
1461.HK,中泰期货,,,,,,,,,,,
1471.HK,众淼控股,6.8745,11.1034,10.8148,13.4658,15.3750,18.2123,,,,,
1476.HK,金融街证券,,,,,,,,,,,
1497.HK,燕之屋,18.4318,14.4465,22.2889,29.7735,32.0257,24.6904,,,,,
1501.HK,瑛泰医疗,9.6025,10.0624,8.6333,7.6476,9.3159,8.3110,11.6575,17.9528,22.8065,21.1465,
1502.HK,金融街物业,6.6290,7.3933,8.6370,9.2710,10.8143,11.0986,16.5108,16.0415,15.2365,,
1508.HK,中国再保险,,,,,,,,,,,
1511.HK,驭势科技,-35.6366,-28.8581,-29.9461,-38.2607,,,,,,,
1513.HK,丽珠医药,10.8241,10.6940,8.4817,8.9463,10.0901,12.1304,8.5185,7.1833,42.7585,10.9960,10.7768
1527.HK,天洁环境,4.8815,6.0832,4.1737,5.3226,2.0745,0.4246,3.3072,3.2755,7.0564,9.4418,11.4875
1528.HK,红星美凯龙,-25.4229,-1.4730,0.0907,3.0989,3.9510,4.0718,7.2218,7.1091,7.5421,7.5191,8.6338
1541.HK,宜明昂科-B,-21.8563,-34.8596,-44.0852,-46.4109,-127.4421,-257.9357,,,,,
1542.HK,台州水务,1.0189,0.6480,0.8401,2.6098,4.5491,5.1592,6.3349,8.8129,6.3942,4.1541,
1543.HK,中盈盛达融资担保,,,,,,,,,,,
1551.HK,广州农商银行,,,,,,,,,,,
1576.HK,齐鲁高速,3.8126,4.1038,6.2752,13.3439,19.0276,16.9782,15.6738,14.2512,18.9944,17.5521,11.8001
1577.HK,汇鑫小贷,,,,,,,,,,,
1578.HK,天津银行,,,,,,,,,,,
1588.HK,畅捷通,3.3355,2.0858,1.4254,-13.4445,-11.9107,1.5603,3.5710,7.9068,18.6562,-13.1015,-7.4881
1596.HK,翼辰实业,9.5681,-1.1799,1.8867,5.9436,9.7254,10.7197,8.7726,9.0162,9.1194,19.7099,23.0461
1599.HK,城建设计,2.1694,3.7079,3.6995,5.5978,5.2802,5.5895,3.5747,3.5718,3.8198,5.1479,6.0870
1601.HK,中关村科技租赁,4.5769,5.0849,5.4421,5.5955,5.7098,5.8473,6.2077,5.8982,5.8707,5.5163,
1606.HK,国银金租,,,,,,,,,,,
1609.HK,天星医疗,21.5909,19.1561,15.0523,11.8692,,,,,,,
1618.HK,中国中冶,0.6326,1.3516,2.3165,2.7708,2.5741,2.6346,2.5755,2.8088,2.8104,2.7759,2.8233
1635.HK,大众公用,3.4720,3.0639,3.0483,0.1151,3.5512,4.8827,4.6370,3.9186,4.6436,5.3991,5.5750
1641.HK,红星冷链,8.6703,8.9880,9.0790,11.5070,,,,,,,
1658.HK,邮储银行,,,,,,,,,,,
1666.HK,同仁堂科技,5.7792,7.5185,8.6225,10.1465,9.5746,8.7999,9.0393,12.7669,13.6475,14.0198,14.9994
1671.HK,天保能源,2.8756,3.0206,1.4845,3.6086,2.5778,7.3549,3.6821,7.9755,9.3059,13.9108,14.1218
1697.HK,山东国信,,,,,,,,,,,
1708.HK,三宝科技,-0.1165,-16.6753,1.1764,-8.1811,0.0817,-2.5124,3.7454,6.5979,7.5881,7.7304,7.5965
1713.HK,四川能投发展,4.8717,7.0035,7.3105,7.4758,7.1808,7.5363,5.3235,5.5940,4.6053,4.3014,3.8775
1727.HK,河北建设,0.2805,0.8637,0.7986,1.0888,-0.3228,1.9423,2.4119,3.1083,2.8017,2.4080,1.6114
1749.HK,杉杉品牌,1.9956,6.4840,6.2461,2.2825,3.3121,-6.6941,-0.2214,6.3819,8.8350,8.6885,11.6769
1763.HK,中国同辐,6.9021,7.8232,7.7065,8.6185,8.5301,7.1311,9.1035,11.7906,13.2613,15.8323,16.4547
1766.HK,中国中车,3.6116,3.4970,3.5874,3.7285,3.4282,4.1804,4.5772,4.4398,4.6004,5.5086,7.7399
