证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
8329.HK,海王英特龙,-3.6193,2.4680,2.0941,6.0107,2.9224,3.7254,6.8400,6.2011,6.7512,8.5673,4.8474
8348.HK,滨海泰达物流,-2.6259,1.3983,2.4934,3.9816,5.5211,-1.2783,3.2909,2.5328,2.8437,2.8181,2.8302
8452.HK,富银融资股份,-6.2999,-1.6508,0.1980,-7.8105,2.7585,0.5094,3.3880,3.9015,2.5388,2.6051,1.2163
8629.HK,集信国控,11.4478,13.2974,17.5979,4.8606,27.8501,,,,,,
9609.HK,海伟股份,5.3771,12.7281,12.8580,25.4301,,,,,,,
9611.HK,龙旗科技,2.6244,2.5183,4.0209,4.2579,4.1189,3.3656,0.9916,,,,
9633.HK,农夫山泉,34.4882,31.0454,35.7226,30.8419,32.0217,32.3678,32.5054,24.2828,25.9081,,
9663.HK,国鸿氢能,-10.6493,-8.4256,-10.5985,-9.8795,-36.1699,-17.2698,4.8476,,,,
9668.HK,渤海银行,,,,,,,,,,,
9676.HK,十月稻田,9.1755,5.2789,-1.2173,-20.3583,-8.8185,3.4458,,,,,
9677.HK,威海银行,,,,,,,,,,,
9678.HK,云知声,-13.7408,-17.0035,-19.4441,-32.9507,-64.2105,-41.1719,-46.3908,-47.5217,-75.1866,,
9696.HK,天齐锂业,6.1140,1.4121,49.4103,68.8596,16.0087,1.7428,-5.3489,13.1403,24.4198,23.7838,8.9121
9699.HK,顺丰同城,5.7630,2.6244,0.5411,-7.9708,-32.4774,-65.4011,-98.9238,-162.6100,,,
9863.HK,零跑汽车,0.4871,-9.4686,-18.3287,-32.8052,-36.3094,-30.5189,-29.9998,,,,
9877.HK,健世科技-B,-29.6971,-15.7594,-27.4762,-31.7959,-58.3995,-148.4757,-92.4824,,,,
9878.HK,汇通达网络,2.3439,2.0744,2.7405,2.4394,2.6933,1.9852,1.9283,1.3344,,,
9880.HK,优必选,-10.5896,-22.9965,-32.3118,-34.8308,-34.5161,-25.9733,,,,,
9881.HK,容大科技,,12.9749,7.8635,11.5512,9.4363,,,,,,
9887.HK,维立志博-B,-17.8114,-52.9045,-67.3492,-44.9439,,,,,,,
9889.HK,东莞农商银行,,,,,,,,,,,
9903.HK,天数智芯,-35.9414,-53.3868,-61.1001,-52.2715,,,,,,,
9908.HK,嘉兴燃气,6.0767,9.8757,12.0445,5.3735,8.8747,8.8594,9.9259,8.3805,7.8354,,
9927.HK,赛力斯,6.4366,7.1311,-7.6665,-11.6191,-8.1158,-6.8142,1.6961,3.4713,6.6077,4.9920,4.4818
9973.HK,奇瑞汽车,10.6041,9.6190,9.9020,6.4882,,,,,,2.5623,2.8404
9980.HK,东鹏饮料,23.0196,22.5226,20.0102,19.2131,24.9102,26.7347,27.0364,13.1454,19.0056,,
9981.HK,沃尔核材,13.0556,11.8090,10.8636,10.1618,8.9572,7.4179,6.1643,2.6833,5.1612,4.6195,23.5019
9989.HK,海普瑞,2.5401,4.7688,-3.5240,5.3358,2.2232,9.1661,10.4907,6.4189,1.3021,3.3688,5.1439
9995.HK,荣昌生物,12.1754,-25.3199,-25.7699,-19.4899,6.8040,-27.8175,-63.3383,-43.2908,,,
,,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,,
