证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
601872.SH,招商轮船,10.5248,10.5386,10.1106,10.1114,8.1232,6.1126,4.8766,4.0648,3.1759,7.0105,7.5562
601136.SH,首创证券,,,,,,,,,,,
600066.SH,宇通客车,20.1435,14.6769,6.5474,2.0254,1.2895,1.2036,6.0482,8.2201,11.3644,15.1177,15.1624
603993.SH,洛阳钼业,19.4777,16.0354,9.2917,7.5449,7.5193,3.3197,2.9978,7.4379,6.3367,2.3560,2.1916
600547.SH,山东黄金,6.5581,5.0286,4.3099,3.3211,0.8607,6.2424,5.2248,4.2286,5.5401,7.2880,5.5391
601018.SH,宁波港,6.1954,6.3260,5.6690,6.4013,6.6056,6.1177,6.6410,6.6532,6.7918,6.4470,7.9645
001965.SZ,招商公路,4.4155,5.1401,5.5831,6.1221,6.9956,3.3420,7.1666,7.5648,7.7442,7.7035,9.2067
600219.SH,南山铝业,8.9016,9.5680,6.5421,6.6540,7.0935,4.7058,3.7392,4.2937,5.4418,4.7070,2.6953
600600.SH,青岛啤酒,11.3550,10.5021,10.5586,9.4207,9.5199,6.9384,6.2422,5.7088,5.5697,6.3306,7.0165
000876.SZ,新希望,0.7032,1.8484,-0.5121,-1.3063,-7.5074,7.0991,12.2318,7.2701,8.5451,9.4182,9.9324
300433.SZ,蓝思科技,5.8727,5.3473,4.8312,4.5575,2.7639,9.8077,7.9020,3.7946,9.0009,6.5690,9.6406
600519.SH,贵州茅台,37.8049,41.3433,39.3358,33.8499,31.4138,33.3958,34.2866,34.5132,31.2511,24.0157,28.8258
688223.SH,晶科能源,-6.5883,0.4562,7.3132,3.5034,2.2040,2.4701,4.0128,1.1787,1.0396,8.3356,7.9159
300498.SZ,温氏股份,6.8767,11.3595,-5.4014,7.4109,-13.5153,11.1828,25.1025,8.4707,15.5989,32.9249,23.2829
002422.SZ,科伦药业,6.4169,11.7974,10.1467,7.6181,3.7077,3.0095,5.9655,6.6978,6.4185,4.4066,4.2505
688472.SH,阿特斯,2.5786,3.9935,5.5975,6.3546,0.4073,4.8965,6.4791,7.1109,,5.2380,6.7965
601058.SH,赛轮轮胎,10.5047,13.5430,12.1042,6.5944,6.6838,10.5669,9.3933,6.0820,4.1123,4.7165,3.4578
002241.SZ,歌尔股份,5.3008,3.6363,1.0484,2.1832,8.5738,7.6917,5.3232,4.2726,10.9491,10.2079,9.2962
600372.SH,中航机载,2.0488,1.8606,4.4281,3.9441,3.8635,3.0347,4.1747,4.0107,4.4278,4.7808,5.7587
002304.SZ,洋河股份,5.0498,12.4433,19.1901,17.4776,16.3505,18.4100,18.8196,23.2058,21.4451,21.3385,22.2390
601127.SH,赛力斯,6.4366,7.1311,-7.6665,-11.6191,-8.1158,-6.8142,1.6961,3.4713,6.6077,4.9920,4.4818
600660.SH,福耀玻璃,15.9205,13.8436,11.8970,11.7269,9.5359,8.2137,9.2139,15.4091,12.0295,14.5098,15.3972
601021.SH,春秋航空,7.3540,6.6305,6.6243,-6.7937,0.8564,-1.6987,8.7773,8.4978,8.9511,7.8967,13.5881
600406.SH,国电南瑞,10.0888,9.6785,9.9833,9.9314,9.7209,9.4937,9.5598,10.1234,13.4035,9.6034,9.7226
600111.SH,北方稀土,7.6569,4.7334,8.1204,20.8468,22.2313,6.0104,5.1330,5.3170,5.5143,2.6178,3.2704
002938.SZ,鹏鼎控股,8.8802,7.6206,8.8092,15.1179,11.0849,10.6148,11.7179,13.2662,10.5878,6.8977,11.3308
600584.SH,长电科技,3.8389,3.7089,4.1807,9.0652,9.9279,6.2680,2.4490,0.1834,2.9121,1.9737,1.6130
600377.SH,宁沪高速,7.4415,8.6141,8.5532,7.7421,9.6206,6.2762,11.5128,13.5410,13.0663,13.3916,11.2876
000963.SZ,华东医药,10.4924,12.1134,10.7138,10.4757,11.0455,15.1583,17.4373,16.7716,15.5498,15.0772,15.7107
600426.SH,华鲁恒升,9.4440,11.5422,10.8296,23.2823,35.0209,10.9614,16.5545,21.5758,10.8069,9.5128,10.6683
002415.SZ,海康威视,12.2102,10.5061,12.4759,13.3170,19.1812,18.6188,19.1563,21.1004,22.3038,23.3721,25.8354
600674.SH,川投能源,7.9641,8.2261,7.9343,7.0057,7.0829,8.2502,9.4966,12.8820,12.8832,15.0777,18.6452
000858.SZ,五粮液,5.0430,23.3709,26.3479,25.7363,26.0109,25.1291,23.5747,22.3303,18.7899,14.9951,15.2708
601877.SH,正泰电器,6.3901,6.6872,6.8667,7.4638,7.4447,13.8040,9.6823,10.0409,9.5987,14.8756,18.7480
688187.SH,时代电气,6.7130,6.8878,6.1758,5.9538,5.2518,8.4080,9.4467,10.5397,11.3111,14.5561,17.5728
000895.SZ,双汇发展,17.6184,18.3802,18.1437,20.1715,18.0699,25.2789,27.1304,28.0993,26.1039,26.4433,25.2331
603799.SH,华友钴业,7.2486,5.8406,4.0438,7.1552,11.3694,5.8899,2.4341,12.7304,18.3837,3.6719,-0.4625
601698.SH,中国卫通,2.0058,1.9974,2.7014,4.4083,4.5194,4.0647,4.3070,5.0025,5.1656,5.8090,6.4800
000538.SZ,云南白药,11.1891,10.3641,8.9968,5.8147,5.9415,12.9697,11.5017,13.6310,14.0436,15.8461,18.1628
601236.SH,红塔证券,,,,,,,,,,,
300760.SZ,迈瑞医疗,16.0078,23.9995,25.8823,25.1230,25.2546,25.2405,21.3153,23.2361,21.7514,15.1464,8.3818
000786.SZ,北新建材,9.2774,12.2310,12.7174,12.2567,15.3334,15.0580,3.4528,16.7374,18.2476,12.5077,11.3674
