市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024,BenchmarkMarket
CSI,603986.SH,兆易创新,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,民营企业,19228830000.0,7355978000.0,1648022000.0,22132000.0,21396582000.0,0.07805704668156811,23.679676552262425,0.12940120869831093,0.27301628783410753,0.41227733748526324,0.5254760690067987,0.05665914150782965,0.13261612901044942,5.335661725109601,0.025951552954599943,CSI_nonSOE
CSI,603993.SH,洛阳钼业,材料,有色金属,材料--有色金属--其他金属与采矿--金属非金属,民营企业,170236431691.82,213028664834.79,20338750797.53,2630714020.64,200932364610.99,0.11431441053629886,25.860454082423132,0.6977972162846274,0.5317816081836909,1.2413861337562409,0.19804101568131008,0.28476168469166374,0.49515955374140047,1.7416047761684283,0.028791246774326696,CSI_nonSOE
CSI,605117.SH,德业股份,工业,电气设备,工业--电气设备--电气设备Ⅲ--光伏设备,民营企业,15114421000.0,11206468000.0,3170769705.42,-129277566.96,19906773218.39,0.1527867979954808,23.4389151581259,0.009962133908092799,0.14616578354193543,0.8643029336252168,0.35095648056912004,0.15966519656955433,0.37445728155911495,1.962657204098599,0.030594291372458133,CSI_nonSOE
CSI,605499.SH,东鹏饮料,日常消费,食品饮料,日常消费--食品饮料--饮料--软饮料,民营企业,22676297000.0,15830336000.0,4415263000.0,101132000.0,26720736000.0,0.1690221032833826,23.844586030870765,0.031489265013290135,0.21624588016252744,0.8468511780517096,-0.09434595957179429,0.18870148860724484,0.6608096551213807,0.855883398645824,0.058408522343837706,CSI_nonSOE
CSI,688036.SH,传音控股,信息技术,硬件设备,信息技术--硬件设备--通信设备Ⅲ--通信设备Ⅳ,民营企业,45062400000.0,68715279000.0,2580636983.0,133243916.08,44382261831.55,0.06114787275556976,24.531314032849032,0.13931456368707743,0.12235054081259594,1.507188331349913,0.32896021960659,0.06195974914784832,0.5485030535435308,1.6180321414101306,,CSI_nonSOE
CSI,688047.SH,龙芯中科,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,民营企业,3497483392.2,501918584.8,-455140256.17,-1502303.27,3161870916.43,-0.14442163247941356,21.97530951601515,0.008829399916811288,0.27301628783410753,0.13191768478119537,0.6335495033204979,0.08723652305267407,0.160425727321914,6.750082674909443,0.020481814798537185,CSI_nonSOE
CSI,688111.SH,金山办公,信息技术,软件服务,信息技术--软件服务--软件--应用软件,民营企业,15912888756.23,5071668434.0,1836468727.81,488890.74,18155801690.14,0.10117744453816158,23.490395231402207,0.059152403129921774,0.23288063539086398,0.33939061770580864,0.16605210762411038,0.027123338105472624,0.2813014782081909,1.7631757576929075,0.010996858254381348,CSI_nonSOE
CSI,688169.SH,石头科技,可选消费,家电Ⅱ,可选消费--家电Ⅱ--家电Ⅲ--家用电器,民营企业,17484730000.0,11918473000.0,1363322277.0,-152791423.0,19669397566.0,0.06154387036705647,23.58459376553526,0.022846423097762324,0.6526875314442925,0.7481456228564168,0.4189418995889556,0.07994701662536396,0.26391863071377136,2.654501648496725,0.01673145653378691,CSI_nonSOE
CSI,688223.SH,晶科能源,工业,电气设备,工业--电气设备--电气设备Ⅲ--光伏设备,民营企业,121109877893.38,92045573706.01,-6881512301.12,1370318563.85,117962654800.03,-0.04671981778142042,25.519964052249815,0.08182509698028827,0.14616578354193543,0.7269823884482021,0.154412693885411,0.36719071231571937,0.7199151157091196,1.373349379984634,0.07584141467912478,CSI_nonSOE
CSI,688256.SH,寒武纪,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,民营企业,6717812509.7,1171492948.52,2059228538.67,10961179.66,13437714065.91,0.15405817597963656,22.62802841909865,0.0206080827756739,0.27301628783410753,0.17836578074803208,0.7416373459167128,0.056812051064081215,0.19162978070483377,7.0896730685718,0.05448936460960368,CSI_nonSOE
CSI,688271.SH,联影医疗,医疗保健,医疗设备与服务,医疗保健--医疗设备与服务--医疗保健设备与用品--医疗保健设备,民营企业,28035688872.48,10243323210.94,1869300805.65,-30626038.58,32784579366.01,0.056083524712727574,24.056744138093894,0.08975416603781418,0.28019975017592524,0.3838475602409031,0.49287514315240966,0.16814667143304604,0.28996782767802487,2.9528812815727967,0.06940199779467317,CSI_nonSOE
CSI,688303.SH,大全能源,工业,电气设备,工业--电气设备--电气设备Ⅲ--光伏设备,民营企业,44200249316.2,7342305450.51,-1129167857.67,19346696.57,42704100006.61,-0.025988632494964543,24.511996266652165,0.006527036894416711,0.14616578354193543,0.15474539104301796,0.28971875112809725,0.5745644601154333,0.09145894178018506,4.40505678455856,0.011927645970693025,CSI_nonSOE
CSI,688506.SH,百利天恒,医疗保健,医药生物,医疗保健--医药生物--制药--西药,民营企业,7137359000.0,5821050000.0,-1053617853.77,-42777542.96,11447802237.4,-0.09577343965185504,22.6886086569173,0.028135542940739836,0.13623235092080122,1.3596679831889393,0.6042220939145698,0.07712460589414095,0.45555141614706507,3.1620520029518873,0.011752106066123338,CSI_nonSOE
