benchmark,二级行业,n_firms,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,total_assets
CSI_nonSOE,硬件设备,42,0.14169642857142858,0.14334170876912844,0.0016452801976998663,0.018106849114855897,0.5952380952380952,0.10392858525311721,0.09348242773679158,-0.010446157516325633,-48415013996.57048,98654243338.91182,4634719888236.96
CSI_nonSOE,软件服务,13,0.13587184615384615,0.13858722102216975,0.0027153748683235905,0.02319547343980405,0.6153846153846154,0.16800272824679832,0.13357654863915666,-0.03442617960764166,-5289366441.217379,2368926368.6626186,153643724093.14
CSI_nonSOE,钢铁Ⅱ,21,0.09691528571428572,0.12597037768068783,0.029055091966402102,0.05647813121621513,0.8095238095238095,0.07482509559311905,0.12278272087380065,0.04795762528068161,205573860893.60498,227815133064.9368,4286572983763.12
CSI_nonSOE,食品饮料,56,0.24578442857142857,0.1654380374133734,-0.08034639115805521,-0.06391974320421813,0.2857142857142857,0.26994231250981815,0.1451899248153321,-0.12475238769448604,-566015738954.585,29421858700.583626,4537113472655.42
H_nonSOE,交通运输,102,0.04863539215686275,-0.0734807129226533,-0.12211610507951608,-0.14296412145937581,0.10784313725490197,0.034920208875054766,-0.0700875676631868,-0.10500777653824156,-1883343261670.282,826106601582.2717,17935274164998.71
H_nonSOE,企业服务,7,0.12236985714285716,0.13465491895042245,0.01228506180756529,0.017340045221765105,0.5714285714285714,0.12868714474950585,0.13824696025159766,0.009559815502091812,2322957206.435659,4306113522.680246,242991844971.0
H_nonSOE,传媒,7,0.13030928571428574,0.16481321903229243,0.03450393331800671,0.05948089398642063,0.7142857142857143,0.12182789519393164,0.15995641473529013,0.038128519541358485,7192134987.923558,9123197439.472084,188628750196.35
H_nonSOE,公用事业Ⅱ,80,0.08596345,0.0025795226724428287,-0.08338392732755717,-0.1050070248697065,0.125,0.08540665012143009,-0.008189528557553302,-0.09359617867898339,-2365346096505.611,170731917948.97815,25271823378797.18
H_nonSOE,化工,34,0.2094820294117647,0.11171090343167,-0.09777112598009469,-0.04972038922959006,0.35294117647058826,0.21514244067805008,0.11142011193504944,-0.10372232874300064,-230182706131.4516,12828059334.40498,2219220383123.0
H_nonSOE,医药生物,42,0.1536919761904762,0.036715950238226,-0.11697602595225016,-0.11105288368260807,0.16666666666666666,0.11177574524477794,0.11792473836672315,0.006148993121945209,12831551022.151108,120742638300.97841,2086772706958.5498
H_nonSOE,半导体,20,0.10317515000000002,0.08253400352975991,-0.020641146470240086,-0.04112097909673046,0.3,0.11203195282089985,0.09028203356849736,-0.021749919252402494,-16587755450.477858,15637220122.066423,762658254404.5801
H_nonSOE,可选消费零售,7,0.18920771428571426,0.2508767546587251,0.06166904037301084,0.07954282369171536,0.8571428571428571,0.1682711443822554,0.24477350834331182,0.07650236396105642,33839002925.503242,39470191855.38194,442326239000.0
H_nonSOE,国防军工,35,0.08751085714285714,0.08282694276144628,-0.004683914381410873,-0.007096350429021542,0.4857142857142857,0.08101860386819683,0.09147578432442147,0.010457180456224638,20821711665.63984,83972653191.44254,1991140131204.84
H_nonSOE,建材Ⅱ,21,0.14630223809523807,0.16072263077051563,0.014420392675277541,0.014119697744842535,0.6666666666666666,0.13044447698609657,0.18874501131324745,0.05830053432715088,124494623993.6291,151548407621.7373,2135394219460.03
H_nonSOE,建筑,63,0.09930753968253968,0.07291783918295873,-0.02638970049958097,-0.013139037018468358,0.2857142857142857,0.09424874101614908,0.07941713751220601,-0.014831603503943067,-1062682817479.7626,387552835433.21857,71649893903733.45
H_nonSOE,房地产Ⅱ,21,0.04301423809523811,0.08580924399808283,0.042795005902844734,0.024890748974977416,0.6190476190476191,0.08463875055769525,0.09391602207478207,0.009277271517086821,141408687953.43365,528028303403.5235,15242486726079.84
H_nonSOE,有色金属,63,0.1233990476190476,0.249179706857607,0.12578065923855933,0.11741309401051345,0.8888888888888888,0.14236583722171545,0.2625468521900599,0.12018101496834446,834973251860.9293,927545114916.6112,6947630223299.91
H_nonSOE,机械,35,0.07923660000000002,0.13380537897030775,0.05456877897030775,0.07056050227827883,0.9428571428571428,0.08900451054661733,0.1424414668385327,0.053436956291915375,435027337475.6581,452554801252.25446,8140945286988.109
H_nonSOE,汽车与零配件,28,0.07509303571428572,0.12487022270660617,0.04977718699232046,0.03712712697613251,0.8928571428571429,0.06638623342920408,0.13733093643787864,0.07094470300867456,720668501172.4398,734034708938.506,10158172077826.9
H_nonSOE,煤炭Ⅱ,35,0.17295094285714288,0.0695571932974895,-0.10339374955965336,-0.07467700492131138,0.05714285714285714,0.16379421635937402,0.07949400906363355,-0.08430020729574048,-914418067500.9039,6547262930.720276,10847162739386.379
H_nonSOE,电信服务,28,0.06294742857142857,0.09411491881051627,0.03116749023908773,0.0474811924314436,0.7857142857142857,0.08117159969985044,0.12653639210004927,0.04536479240019883,1064306600222.499,1069063887911.1338,23461070665405.16
H_nonSOE,电气设备,28,0.10249885714285714,0.09887442980965286,-0.0036244273332042974,0.0031183975204723546,0.5714285714285714,0.09882179100978092,0.0988777704429282,5.59794331472796e-05,140807103.60083252,21056247807.80604,2515336359879.2803
H_nonSOE,石油石化,28,0.09470435714285712,0.12557993044576324,0.030875573302906086,0.03870988229177044,0.5357142857142857,0.09136394196315852,0.1801121188656481,0.08874817690248958,3481094635825.747,4394346372221.0425,39224407276000.0
H_nonSOE,硬件设备,42,0.14169642857142858,0.1294409463937902,-0.012255482177638399,-0.023669012289616438,0.2857142857142857,0.10392858525311721,0.10141353283148863,-0.002515052421628583,-11656563478.480492,131693739234.0408,4634719888236.96
H_nonSOE,软件服务,13,0.13587184615384615,-0.07096189444828688,-0.206833740602133,-0.21029330813653055,0.0,0.16800272824679832,-0.030107231953865828,-0.19810996020066415,-30438352065.173794,0.0,153643724093.14
H_nonSOE,钢铁Ⅱ,21,0.09691528571428572,0.2033225574619079,0.10640727174762214,0.12898926519584047,0.9047619047619048,0.07482509559311905,0.21111696750985337,0.1362918719167343,584225056064.777,596181812863.7849,4286572983763.12
H_nonSOE,食品饮料,56,0.24578442857142857,0.191647314590121,-0.054137113981307605,-0.05410245997922393,0.2857142857142857,0.26994231250981815,0.1975223849297791,-0.07241992758003904,-328577429112.1251,63446095014.61474,4537113472655.42
Pooled_H_plus_CSI_nonSOE,交通运输,102,0.04863539215686275,0.009710659945219217,-0.03892473221164352,-0.06442250400208258,0.22549019607843138,0.034920208875054766,0.01207575914581205,-0.022844449729242718,-409721469042.49866,1176844275588.427,17935274164998.71
Pooled_H_plus_CSI_nonSOE,企业服务,7,0.12236985714285716,0.13093897497840204,0.008569117835544916,0.01821308846302795,0.5714285714285714,0.12868714474950585,0.13347170379972123,0.004784559050215381,1162608830.9845293,4311618728.203631,242991844971.0
Pooled_H_plus_CSI_nonSOE,传媒,7,0.13030928571428574,0.17026855734421562,0.03995927162992989,0.06581175119096021,0.7142857142857143,0.12182789519393164,0.16498282558660007,0.043154930392668434,8140260584.779526,9659215528.792797,188628750196.35
Pooled_H_plus_CSI_nonSOE,公用事业Ⅱ,80,0.08596345,0.10994425315260721,0.023980803152607207,0.0033752815143659534,0.5375,0.08540665012143009,0.10345642467765409,0.018049774556224002,456150714612.0007,849691020239.7542,25271823378797.18
Pooled_H_plus_CSI_nonSOE,化工,34,0.2094820294117647,0.17507717059390768,-0.034404858817857056,0.007494364611175849,0.5294117647058824,0.21514244067805008,0.17079163942107034,-0.04435080125697974,-98424202157.32661,48670709852.75117,2219220383123.0
Pooled_H_plus_CSI_nonSOE,医药生物,42,0.1536919761904762,0.1220763936228205,-0.03161558256765569,-0.03344080024376496,0.2619047619047619,0.11177574524477794,0.17562043207676636,0.06384468683198842,133229349965.3094,176958515869.4528,2086772706958.5498
Pooled_H_plus_CSI_nonSOE,半导体,20,0.10317515000000002,0.12134676094394839,0.01817161094394837,-0.003700035484716084,0.5,0.11203195282089985,0.12602545375436697,0.013993500933467115,10672258994.926903,28782252337.348442,762658254404.5801
Pooled_H_plus_CSI_nonSOE,可选消费零售,7,0.18920771428571426,0.25758137955796495,0.06837366527225065,0.09048030495031123,0.8571428571428571,0.1682711443822554,0.2521652480996703,0.08389410371741488,37108563371.60006,42944341029.04031,442326239000.0
Pooled_H_plus_CSI_nonSOE,国防军工,35,0.08751085714285714,0.13102305046507484,0.04351219332221768,0.05526935711354758,0.8,0.08101860386819683,0.1329482303341819,0.051929626465985076,103399163254.89989,136911122004.15921,1991140131204.84
Pooled_H_plus_CSI_nonSOE,建材Ⅱ,21,0.14630223809523807,0.18020877640049862,0.03390653830526057,0.03846989745414103,0.6666666666666666,0.13044447698609657,0.2050326342688415,0.07458815728274493,159275119901.74908,181672312092.229,2135394219460.03
Pooled_H_plus_CSI_nonSOE,建筑,63,0.09930753968253968,0.11993971721461223,0.020632177532072565,0.031073520498221957,0.8253968253968254,0.09424874101614908,0.12692640946033346,0.03267766844418438,2341351477047.1904,2560943181125.6807,71649893903733.45
Pooled_H_plus_CSI_nonSOE,房地产Ⅱ,21,0.04301423809523811,0.1475976055743784,0.10458336747914028,0.08952010464368582,0.8571428571428571,0.08463875055769525,0.1555612625300453,0.07092251197235004,1081035447318.7834,1170473070758.0151,15242486726079.84
Pooled_H_plus_CSI_nonSOE,有色金属,63,0.1233990476190476,0.26448542036736145,0.14108637274831382,0.14290252513564017,0.9206349206349206,0.14236583722171545,0.27317956514870234,0.1308137279269869,908845409768.0651,976877723595.8595,6947630223299.91
Pooled_H_plus_CSI_nonSOE,机械,35,0.07923660000000002,0.17272820677017944,0.09349160677017944,0.10668709248268561,0.9714285714285714,0.08900451054661733,0.17981989260846085,0.09081538206184352,739323056582.3895,742172535873.0574,8140945286988.109
Pooled_H_plus_CSI_nonSOE,汽车与零配件,28,0.07509303571428572,0.14423512998337282,0.06914209426908711,0.05389788140986882,0.9642857142857143,0.06638623342920408,0.15594277170556275,0.08955653827635868,909730726505.7427,913874608515.3774,10158172077826.9
Pooled_H_plus_CSI_nonSOE,煤炭Ⅱ,35,0.17295094285714288,0.13071590199033534,-0.04223504086680755,-0.011051988474475444,0.4,0.16379421635937402,0.14116258184115607,-0.022631634518217952,-245489022677.42462,186623781966.20193,10847162739386.379
Pooled_H_plus_CSI_nonSOE,电信服务,28,0.06294742857142857,0.13219973623062983,0.06925230765920126,0.07162364812761782,1.0,0.08117159969985044,0.15260800468815458,0.07143640498830414,1675974545513.1064,1675974545513.1064,23461070665405.16
Pooled_H_plus_CSI_nonSOE,电气设备,28,0.10249885714285714,0.15108230939284586,0.04858345224998867,0.05122941504331357,1.0,0.09882179100978092,0.14735136476217067,0.048529573752389754,122068201388.82918,122068201388.82918,2515336359879.2803
Pooled_H_plus_CSI_nonSOE,石油石化,28,0.09470435714285712,0.21276073071121174,0.11805637356835454,0.13080999741680646,0.7857142857142857,0.09136394196315852,0.26032304566764136,0.16895910370448286,6627320696692.558,6900420669469.825,39224407276000.0
Pooled_H_plus_CSI_nonSOE,硬件设备,42,0.14169642857142858,0.18082211016745525,0.03912568159602668,0.02419046134316772,0.7380952380952381,0.10392858525311721,0.15484589230106982,0.05091730704795261,235987455630.61407,305646428578.51715,4634719888236.96
Pooled_H_plus_CSI_nonSOE,软件服务,13,0.13587184615384615,0.07265521533522176,-0.0632166308186244,-0.0688979803726425,0.15384615384615385,0.16800272824679832,0.09562554435539548,-0.07237718389140284,-11120300072.449152,186665416.52240393,153643724093.14
Pooled_H_plus_CSI_nonSOE,钢铁Ⅱ,21,0.09691528571428572,0.21334356336766871,0.11642827765338301,0.1404518053531057,0.9047619047619048,0.07482509559311905,0.21982104085605006,0.14499594526293103,621535701719.2761,630741760235.895,4286572983763.12
Pooled_H_plus_CSI_nonSOE,食品饮料,56,0.24578442857142857,0.20263429139666225,-0.04315013717476633,-0.0438018336601354,0.2857142857142857,0.26994231250981815,0.20653149732387566,-0.06341081518594249,-287702063892.20276,68534232997.48335,4537113472655.42
