sample,winsor,benchmark,n_train_valid_target,n_soe_predicted,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,target_lower,target_upper
overlap,5-95,CSI_nonSOE,684,816,0.1144255024509804,0.1175788671415917,0.00315336469061131,0.007652189812530741,0.5465686274509803,0.09466526733606238,0.10593482946355265,0.011269562127490265,2874587902964.0293,9465420327252.828,-0.09529995000000001,0.4182671500000001
baseline,5-95,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.14192150577852758,0.027496003327547206,0.0302160101295951,0.6262254901960784,0.09466526733606238,0.15394128754515907,0.05927602020909668,15119853699840.902,18910982788704.53,-0.38708789999999993,0.44184604999999993
common_support,5-95,Pooled_H_plus_CSI_nonSOE,1694,566,0.13295319787985865,0.14775872348163346,0.01480552560177482,0.022349473029032514,0.5848056537102474,0.13355553036695506,0.14873642942274426,0.015180899055789204,954052217448.8364,3628324331098.0806,-0.38708789999999993,0.44184604999999993
psm,5-95,Pooled_H_plus_CSI_nonSOE,502,816,0.1144255024509804,0.12082141447734157,0.006395912026361166,0.016117175544300172,0.5808823529411765,0.09466526733606238,0.10385244926541941,0.009187181929357024,2343423971374.9014,10631030546816.37,0.0194257,0.295278
cem,5-95,Pooled_H_plus_CSI_nonSOE,1360,816,0.1144255024509804,0.12965058262693596,0.01522508017595556,0.01666528528116469,0.5784313725490197,0.09466526733606238,0.13959094531255806,0.04492567797649567,11459434624231.684,16211769419696.492,-0.30113775000000004,0.41160249999999987
entropy,5-95,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.14192150577852758,0.027496003327547206,0.0302160101295951,0.6262254901960784,0.09466526733606238,0.15394128754515907,0.05927602020909668,15119853699840.902,18910982788704.53,-0.38708789999999993,0.44184604999999993
overlap,5-95,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.14192150577852758,0.027496003327547206,0.0302160101295951,0.6262254901960784,0.09466526733606238,0.15394128754515907,0.05927602020909668,15119853699840.902,18910982788704.53,-0.38708789999999993,0.44184604999999993
baseline,2-97,H_nonSOE,1010,816,0.1144255024509804,0.08985541659458444,-0.02457008585639594,-0.012956710944175664,0.4571078431372549,0.09466526733606238,0.09685695516204007,0.0021916878259776867,559045616888.7578,11234858560709.727,-0.8921777750000001,0.6475364749999999
common_support,2-97,H_nonSOE,1010,360,0.11576663888888888,0.11135389359246418,-0.004412745296424715,0.0030837479517710625,0.5083333333333333,0.09985756552663771,0.13000455501753974,0.030146989490902026,1157977017571.4219,2751993204102.166,-0.8921777750000001,0.6475364749999999
psm,2-97,H_nonSOE,316,816,0.1144255024509804,0.11559139676220961,0.0011658943112292076,0.002660957953357544,0.5196078431372549,0.09466526733606238,0.13637898971384568,0.0417137223777833,10640143812000.95,17226829015688.07,0.045431,0.26894487499999997
cem,2-97,H_nonSOE,737,816,0.1144255024509804,0.08833389746203141,-0.026091604988949003,-0.02725918272193739,0.39828431372549017,0.09466526733606238,0.11058580523235834,0.015920537896295953,4060937339680.3496,13346704382256.967,-0.5609825999999999,0.5189766000000001
entropy,2-97,H_nonSOE,1010,816,0.1144255024509804,0.08985541659458444,-0.02457008585639594,-0.012956710944175664,0.4571078431372549,0.09466526733606238,0.09685695516204007,0.0021916878259776867,559045616888.7578,11234858560709.727,-0.8921777750000001,0.6475364749999999
