市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024
CSI,600585.SH,海螺水泥,材料,建材Ⅱ,材料--建材Ⅱ--建材Ⅲ--建材Ⅳ,地方国有企业,"254,635,244,000.00","91,029,615,000.00","8,464,457,000.00","650,683,000.00","256,000,730,000.00",0.035606,26.263098,0.688576,0.525443,0.363519,0.254756,0.389179,0.213240,3.245249,0.044433
CSI,600600.SH,青岛啤酒,日常消费,食品饮料,日常消费--食品饮料--饮料--啤酒,地方国有企业,"51,420,385,832.00","32,137,830,111.00","4,588,101,137.00","11,645,392.00","52,131,585,698.00",0.088233,24.663301,0.025162,0.097008,0.638438,0.149096,0.242093,0.419305,1.437532,0.041638
CSI,600674.SH,川投能源,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,地方国有企业,"65,049,216,986.43","1,562,906,663.82","4,754,148,319.50","466,574,820.23","70,280,844,646.92",0.074284,24.898410,0.001364,0.118327,0.024926,-0.030629,0.163193,0.325335,0.646079,0.014149
CSI,600741.SH,华域汽车,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车零配件--汽车零配件与设备,地方国有企业,"185,005,958,123.93","168,274,099,989.43","7,207,268,139.61","300,363,531.54","199,186,450,932.39",0.037691,25.943654,0.072316,0.204324,0.932002,0.047394,0.137750,0.642604,1.080251,0.024096
CSI,600760.SH,中航沈飞,工业,国防军工,工业--国防军工--航空航天与国防Ⅲ--航空航天,中央国有企业,"61,589,834,322.62","42,667,992,050.90","3,517,760,109.76","-51,895,460.66","77,486,151,790.18",0.044729,24.843763,0.266430,0.253215,0.729017,0.191021,0.119894,0.690682,1.307530,0.049573
CSI,600795.SH,国电电力,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"493,936,293,815.87","177,309,836,825.81","7,161,419,062.53","5,887,937,095.54","520,151,776,851.06",0.025088,26.925672,0.154752,0.118327,0.372564,-0.127761,0.776514,0.734045,0.498768,0.117618
CSI,600809.SH,山西汾酒,日常消费,食品饮料,日常消费--食品饮料--饮料--白酒与葡萄酒,地方国有企业,"53,495,197,888.51","30,078,100,042.08","12,246,329,337.25","-20,025,507.86","56,323,475,330.54",0.217073,24.702858,0.023549,0.097008,0.616411,0.487344,0.091190,0.341913,2.451332,0.011920
CSI,600845.SH,宝信软件,信息技术,软件服务,信息技术--软件服务--软件--应用软件,中央国有企业,"21,636,685,902.19","13,589,303,000.04","1,305,010,991.72","-17,114,725.47","22,314,945,033.04",0.057715,23.797656,0.127000,0.169431,0.624517,0.381346,0.108447,0.432194,1.981772,0.020184
CSI,600875.SH,东方电气,工业,电气设备,工业--电气设备--电气设备Ⅲ--重型电气设备,中央国有企业,"142,009,284,851.87","68,592,735,741.35","3,831,301,222.13","85,345,766.36","162,674,195,217.33",0.024077,25.679158,0.050664,0.107313,0.521385,0.034271,0.048634,0.696201,1.054737,0.021119
CSI,600886.SH,国投电力,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"296,536,685,805.74","56,750,798,529.77","7,393,381,322.00","2,687,092,580.25","313,579,818,706.81",0.032146,26.415437,0.049531,0.118327,0.197773,-0.090115,0.767208,0.632175,0.527581,0.073402
CSI,600893.SH,航发动力,工业,国防军工,工业--国防军工--航空航天与国防Ⅲ--航空航天,中央国有企业,"115,913,298,911.68","47,614,256,147.29","634,328,156.80","627,400,791.46","123,071,590,336.09",0.010252,25.476108,0.297316,0.253215,0.441468,0.114637,0.213589,0.607384,1.188188,0.025182
CSI,600900.SH,长江电力,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"566,071,979,792.34","82,523,857,422.24","34,502,809,176.39","9,371,372,984.05","559,208,340,046.84",0.078458,27.061987,0.072025,0.118327,0.145031,-0.251498,0.776353,0.607902,0.107736,0.025474
CSI,600905.SH,三峡能源,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"356,871,426,700.32","29,479,481,550.66","3,714,396,619.20","4,144,510,564.47","387,155,529,975.30",0.020299,26.600641,0.025729,0.118327,0.088185,-0.023704,0.690148,0.709569,0.866542,0.086512
CSI,600930.SH,华电新能,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"444,090,216,404.00","33,577,507,557.00","7,262,870,120.00","6,057,531,034.00","518,120,395,445.00",0.025709,26.819294,0.029306,0.118327,0.086012,-0.092824,0.653688,0.730639,0.610585,0.161200
CSI,600938.SH,中国海油,能源,石油石化,能源--石油石化--石油天然气--石油天然气勘探与生产,中央国有企业,"1,056,281,000,000.00","410,757,000,000.00","122,082,000,000.00","2,666,000,000.00","1,098,559,000,000.00",0.113556,27.685775,0.061841,0.406814,0.398430,0.137969,0.598714,0.290496,2.225943,0.116786
CSI,600941.SH,中国移动,通讯服务,电信服务,通讯服务--电信服务--多元电信服务--综合电信业务,中央国有企业,"2,108,127,000,000.00","889,468,000,000.00","137,095,000,000.00","3,183,000,000.00","2,128,182,000,000.00",0.065914,28.376821,0.491611,0.373264,0.433804,-0.030576,0.374154,0.337545,0.898172,0.073989
CSI,601006.SH,大秦铁路,工业,交通运输,工业--交通运输--铁路公路运输--铁路运输,中央国有企业,"207,017,831,253.00","74,365,870,601.00","5,900,148,479.00","-296,022,107.00","211,817,901,515.00",0.026457,26.056071,0.053537,0.116886,0.358657,0.289553,0.436047,0.178965,4.920361,0.021893
CSI,601018.SH,宁波港,工业,交通运输,工业--交通运输--交通基础设施--海港与服务,地方国有企业,"112,898,984,000.00","28,424,405,000.00","5,168,472,000.00","105,974,000.00","123,425,080,000.00",0.042734,25.449759,0.020463,0.116886,0.252389,-0.018075,0.559628,0.242247,0.883191,0.046109
CSI,601088.SH,中国神华,能源,煤炭Ⅱ,能源--煤炭Ⅱ--煤炭Ⅲ--煤炭与消费用燃料,中央国有企业,"661,436,000,000.00","338,375,000,000.00","54,218,000,000.00","2,385,000,000.00","631,777,000,000.00",0.089593,27.217679,0.392903,0.263097,0.522648,0.170092,0.483933,0.233002,2.214694,0.055987
CSI,601111.SH,中国国航,工业,交通运输,工业--交通运输--航空客运Ⅲ--航空客运Ⅳ,中央国有企业,"345,750,173,000.00","166,698,880,000.00","-1,787,943,000.00","5,553,051,000.00","343,010,455,000.00",0.010977,26.568982,0.120010,0.116886,0.489550,-0.280326,0.353379,0.881631,0.295670,0.026481
CSI,601117.SH,中国化学,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"233,421,377,309.40","185,267,614,367.03","6,436,145,919.35","229,081,690.59","247,353,213,805.61",0.026946,26.176111,0.026149,0.174423,0.818796,0.083850,0.099532,0.704835,1.125799,0.012938
CSI,601186.SH,中国铁建,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"1,862,842,522,000.00","1,067,171,337,000.00","18,362,618,000.00","13,072,638,000.00","2,083,825,209,000.00",0.015085,28.253125,0.150621,0.174423,0.605339,0.016760,0.042860,0.773144,1.028057,0.020371
CSI,601225.SH,陕西煤业,能源,煤炭Ⅱ,能源--煤炭Ⅱ--煤炭Ⅲ--煤炭与消费用燃料,地方国有企业,"228,552,861,117.95","173,874,813,332.95","16,764,763,168.36","170,032,743.71","236,269,289,914.48",0.071676,26.155033,0.201894,0.263097,0.823164,-0.024704,0.483405,0.437124,0.902357,0.060788
CSI,601238.SH,广汽集团,可选消费,汽车与零配件,可选消费--汽车与零配件--汽车--汽车制造,地方国有企业,"232,512,366,000.00","107,783,807,000.00","-8,783,621,000.00","638,948,000.00","214,997,433,000.00",-0.037883,26.172209,0.046320,0.204324,0.478018,0.087342,0.122127,0.476025,1.223710,0.046704
CSI,601298.SH,青岛港,工业,交通运输,工业--交通运输--交通基础设施--海港与服务,地方国有企业,"62,749,753,460.00","18,940,998,482.00","5,271,506,093.00","131,117,644.00","66,578,767,145.00",0.081146,24.862420,0.013636,0.116886,0.307995,0.131168,0.411668,0.254306,1.979535,0.033242
CSI,601390.SH,中国中铁,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"2,256,266,000,000.00","1,160,311,000,000.00","22,892,000,000.00","12,796,000,000.00","2,470,432,000,000.00",0.014446,28.444732,0.163766,0.174423,0.568006,-0.005365,0.064425,0.773966,0.990516,0.025456
CSI,601600.SH,中国铝业,材料,有色金属,材料--有色金属--其他金属与采矿--铝,中央国有企业,"215,895,530,000.00","237,065,629,000.00","12,673,918,000.00","2,341,729,000.00","227,021,733,000.00",0.066142,26.098060,0.132426,0.157470,1.108686,0.059533,0.492976,0.481042,1.278215,0.047985
CSI,601607.SH,上海医药,医疗保健,医药生物,医疗保健--医药生物--制药--西药,地方国有企业,"221,209,430,148.17","275,250,934,889.66","5,724,557,508.41","1,685,890,506.64","233,148,766,767.21",0.031784,26.122376,0.454225,0.230555,1.270833,0.206975,0.077120,0.621434,1.363260,0.010853
CSI,601618.SH,中国中冶,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"808,015,755,000.00","552,024,638,000.00","1,321,768,000.00","3,654,143,000.00","839,488,682,000.00",0.005927,27.417847,0.077913,0.174423,0.751249,0.032347,0.040738,0.774341,1.045565,0.008493
CSI,601668.SH,中国建筑,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"3,189,262,063,000.00","2,177,372,513,000.00","39,069,002,000.00","17,641,773,000.00","3,560,679,818,000.00",0.015927,28.790811,0.307315,0.174423,0.714762,0.162218,0.018002,0.758107,1.293695,0.006210
CSI,601669.SH,中国电建,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"1,289,001,336,534.82","631,204,952,397.84","10,007,143,581.45","11,795,542,225.98","1,380,267,054,189.34",0.015796,27.884889,0.089088,0.174423,0.516793,-0.055059,0.170322,0.789312,0.882455,0.045842
CSI,601698.SH,中国卫通,通讯服务,电信服务,通讯服务--电信服务--多元电信服务--非传统电信运营商,中央国有企业,"22,412,943,899.49","2,526,612,263.99","441,236,300.09","-162,717,818.39","22,406,144,635.90",0.012430,23.832904,0.001396,0.373264,0.112123,0.325021,0.483047,0.105243,5.843483,0.063943
CSI,601728.SH,中国电信,通讯服务,电信服务,通讯服务--电信服务--多元电信服务--综合电信业务,中央国有企业,"866,625,000,000.00","529,417,000,000.00","33,185,000,000.00","2,054,000,000.00","870,644,000,000.00",0.040475,27.487872,0.292610,0.373264,0.621951,-0.158375,0.560658,0.473184,0.578175,0.103768
CSI,601766.SH,中国中车,工业,机械,工业--机械--机械Ⅲ--建筑机械与重型卡车,中央国有企业,"512,823,630,000.00","246,456,804,000.00","13,181,015,000.00","1,092,976,000.00","550,774,434,000.00",0.025916,26.963198,0.292016,0.187309,0.500615,0.131796,0.135321,0.590123,1.242508,0.019860
CSI,601800.SH,中国交建,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"1,858,272,000,000.00","768,243,000,000.00","14,995,000,000.00","20,673,000,000.00","2,019,132,000,000.00",0.017665,28.250668,0.108430,0.174423,0.433725,-0.042988,0.043066,0.748253,0.908054,0.014673
CSI,601808.SH,中海油服,能源,石油石化,能源--石油石化--能源设备与服务--石油天然气钻井,中央国有企业,"82,947,663,000.00","48,218,097,000.00","3,841,741,000.00","636,403,000.00","84,462,835,000.00",0.053019,25.141476,0.007259,0.406814,0.580265,-0.011293,0.608334,0.464427,0.968357,0.072709
CSI,601816.SH,京沪高铁,工业,交通运输,工业--交通运输--铁路公路运输--铁路运输,中央国有企业,"284,662,650,232.54","41,928,692,392.36","13,171,912,357.24","1,408,303,112.44","287,938,421,202.66",0.050637,26.374571,0.030185,0.116886,0.145363,0.013490,0.753939,0.208718,1.470092,0.004145
